Symbol
AAPL
AMZN
GOOG
META
MSFT
ALAR
AMD
ANET
ASML
AVGO
CEG
CRWD
EVGN
FN
GE
IBM
IHE
INDP
IONQ
ITRI
MARA
MRNA
NFLX
NVDA
OPTT
PLUG
RDW
RGTI
SMCI
TSLA
TSM
WMT
ZS
VRTX
CAMT
ADBE
ADI
AMAT
AMBA
APP
ARM
AWK
BA
BABA
BB
BIDU
BLNK
CAN
CRM
CSCO
CTVA
DDOG
DIS
DKNG
EH
ENPH
FCEL
FORM
FTNT
GD
GS
HON
HPQ
INTU
ISRG
JOBY
LHX
LLY
LOW
LRCX
MA
MCD
MDB
MELI
MRVL
MSTR
MU
ON
ONTO
ORCL
PATH
OXY
PLTR
PYPL
QBTS
QCOM
QUBT
RKLB
RUN
SE
SNPS
SPOT
XYZ
TER
UPST
V
VFS
WIX
WM
XYL
Z
DELL
