Symbol
AAPL
ADBE
ADI
ALAR
AMAT
AMBA
AMD
AMZN
ANET
APP
ARM
ASML
AVGO
AWK
BA
BABA
BB
BE
BIDU
BUG
CAMT
CART
CBRS
CEG
CRCL
CRM
CRWD
CSCO
CTVA
DDOG
DELL
DIS
DKNG
EH
ENPH
EVGN
FCEL
FN
FORM
FSLR
FTNT
GD
GE
GOOG
GS
HON
HPQ
IBM
INDP
INTC
INTU
IONQ
IRDM
ISRG
ITRI
LAC
LEU
LHX
LLY
LOW
LRCX
MA
MCD
MDB
MELI
META
MRNA
MRVL
MSFT
MSTR
MU
NFLX
NKE
NOC
NVDA
NVO
OKLO
OKTA
ON
ONTO
ORCL
OXY
PL
PLTR
PLUG
PYPL
QBTS
QCOM
QUBT
RDW
RGTI
RKLB
SE
SHOP
SNDK
SNOW
SNPS
SPOT
TER
TSLA
TSM
V
VST
WM
WMT
XYL
XYZ
ZS
